企業名,キャッチコピー,ステータス,初年度年収
グルーコードシステムズ株式会社 | ★コロナでも積極採用 ★プライム9割 ★内定までWeb面接可,★自社内・SES・時短・リモートなど多様な働き方【エンジニア】 正社員,正社員,300万円～1500万円
パーソルエクセルHRパートナーズ株式会社 | 年休120日以上｜残業ほぼ無｜年収400万以上も可能｜社員雇用前提,パナソニックグループなど優良企業で活躍！【オペレーター業務】 紹介予定派遣,紹介予定派遣,350万円～450万円
株式会社ヤマダホールディングス | ヤマダライフ保険：取扱保険会社21社／正社員登用制度あり,FPの仕事は”商談”から【家計相談コンサルタント】関東募集 契約社員,契約社員,500万円～2000万円
株式会社クォンタムアステリア | 【未経験大歓迎のレア求人！】年休125日★土日祝休★残業月9.15h,＼企業理念は「自由」／社会人マナーから学べる【ITエンジニア】 正社員,正社員,
合同会社なごみ | 安定性抜群♪未経験歓迎！約2週間の休暇あり★週休2日制,フレックス制度あり(11時出社可！)☆月給25万円以上【賃貸管理】 正社員,正社員,350万円～550万円
株式会社ミュゼプラチナム | ★週休3日もOK★転勤なし★美容脱毛0円★コスメ社割★WEB面接1回,【美容カウンセラー】*賞与年4回*年齢不問*社会人経験者募集 正社員,正社員,350万円～450万円
株式会社こども総合研究所 | 教育×IT(AI・ビッグデータ)/年休125日/残業ほぼゼロ/面接1回,【100%自社内開発エンジニア】★前職給与以上を確約します★ 正社員,正社員,350万円～1000万円
株式会社ジェイテック | 【毎年、増収増益で黒字経営】★残業月平均11h ★完全週休2日制,条件UP保証！【ITエンジニア】未経験OK／時間有休が取得しやすい 正社員,正社員,300万円～580万円
株式会社ブール・ジャパン | トーテックアメニティ（株）グループ/直近、売上4倍の成長企業,"【テストエンジニア】未経験歓迎！新製品の""使い心地""をチェック 正社員",正社員,240万円～580万円
山崎製パン株式会社 | 【東証一部上場】年間休日116日/残業代全額支給/昇給あり,【ルート配送ドライバー】◎充実の福利厚生で安心して働ける！ 正社員,正社員,250万円～500万円
三井ホーム株式会社 | 完全週休2日/年休120日超/賞与年2回/HAPPY休暇/フレックスタイム,全国募集/転勤なし【リフォームアドバイザー】40~50代女性活躍中 契約社員,契約社員,300万円～450万円
日本福祉サービス株式会社 | 《創業から5年連続で120～140％の成長を継続中》,福祉業界の常識を変える新鋭企業で活躍！【総合職】★未経験OK 正社員,正社員,
フォーザウィン株式会社 | 経験がなくてもOK/年休125日/土日祝休み/手当や福利厚生が充実！,【人材業界の営業】◆営業経験者は前職給与以上を確約します 正社員,正社員,250万円～500万円
